170710_1310,1,globals,Period,NumPeriods,RepeatTreatment,Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,globals,1,1,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Proposer,Offer,OfferOther,r1,r2,Random,RandomOther,TimeOKInitialInfoOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,12,0,0,0,0,0,0,4,600,1,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,13,0,0,0,0,0,0,8,100,0,400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,14,0,0,0,0,0,0,8,900,1,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,15,0,0,0,0,0,0,3,500,0,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,16,0,0,0,0,0,0,4,400,0,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,Period,NumPeriods,RepeatTreatment,Debug,nGroups,length,nNumbers,TRet,ECUperAdd,TaxRate,TaxRateToShow,AuditRate,PercentageFine,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,1,2,0,0,1,2,2,60,150,0.5,50,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,nCorrectRET,ProfitRET,Declared,Deduction,TotalDeduction,Cheat,Random,Audited,Fine,DeductionsGroup,MPCR,ReceivedFromGroup,TimeOKInitialInfoOK,nAdding,rand,limit,limitInf,nCorrectSum,correctAct,add1,add2,add3,add4,add5,i,sumSol,TimeOKRETAddingOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,1,1,0,0,1,-1,-1,-1,0,0,-1,0.583662681,-1,0,-1,0.25,0,26,122,-1,99,10,9,1,60,40,83,36,61,1,122,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,2,1,0,0,1,-1,-1,-1,0,0,-1,0.018380637,-1,0,-1,0.25,0,27,123,-1,99,10,5,0,98,19,55,26,80,1,120,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,3,1,0,0,1,-1,-1,-1,0,0,-1,0.08097617,-1,0,-1,0.25,0,26,126,-1,99,10,6,1,73,12,44,79,81,1,126,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,4,1,0,0,1,-1,-1,-1,0,0,-1,0.873302534,-1,0,-1,0.25,0,22,69,-1,99,10,7,1,11,73,63,56,82,1,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,5,1,0,0,1,-1,-1,-1,0,0,-1,0.966490194,-1,0,-1,0.25,0,25,86,-1,99,10,4,1,35,19,64,55,86,1,86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,6,1,0,0,1,-1,-1,-1,0,0,-1,0.12213532,-1,0,-1,0.25,0,24,89,-1,99,10,7,1,38,55,45,60,28,1,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,7,1,0,0,1,-1,-1,-1,0,0,-1,0.602878301,-1,0,-1,0.25,0,25,107,-1,99,10,9,1,12,42,58,45,11,1,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,8,1,0,0,1,-1,-1,-1,0,0,-1,0.728319944,-1,0,-1,0.25,0,25,131,-1,99,10,7,1,27,16,44,93,18,1,131,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,9,1,0,0,1,-1,-1,-1,0,0,-1,0.47464054,-1,0,-1,0.25,0,26,98,-1,99,10,6,1,66,47,27,35,65,1,98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,10,1,0,0,1,-1,-1,-1,0,0,-1,0.961833484,-1,0,-1,0.25,0,26,130,-1,99,10,8,1,20,85,88,98,46,1,130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,11,1,0,0,1,-1,-1,-1,0,0,-1,0.210932854,-1,0,-1,0.25,0,25,114,-1,99,10,4,1,64,30,94,94,27,1,114,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,12,1,0,0,1,-1,-1,-1,0,0,-1,0.540173331,-1,0,-1,0.25,0,19,168,-1,99,10,6,1,72,75,54,10,61,1,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,13,1,0,0,1,-1,-1,-1,0,0,-1,0.649718288,-1,0,-1,0.25,0,19,66,-1,99,10,4,1,96,20,43,77,15,1,66,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,14,1,0,0,1,-1,-1,-1,0,0,-1,0.945826305,-1,0,-1,0.25,0,26,93,-1,99,10,11,1,51,21,68,71,90,1,93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,15,1,0,0,1,-1,-1,-1,0,0,-1,0.115527928,-1,0,-1,0.25,0,0,115,-1,99,10,12,1,99,60,39,97,91,1,115,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,16,1,0,0,1,-1,-1,-1,0,0,-1,0.148480465,-1,0,-1,0.25,0,26,58,-1,99,10,3,1,70,62,31,18,17,1,58,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,Period,NumPeriods,RepeatTreatment,Debug,nGroups,length,nNumbers,TRet,ECUperAdd,TaxRate,TaxRateToShow,AuditRate,PercentageFine,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,2,2,0,0,1,2,2,60,150,0.5,50,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,nCorrectRET,ProfitRET,Declared,Deduction,TotalDeduction,Cheat,Random,Audited,Fine,DeductionsGroup,MPCR,ReceivedFromGroup,TimeOKInitialInfoOK,nAdding,rand,limit,limitInf,nCorrectSum,correctAct,add1,add2,add3,add4,add5,i,sumSol,TimeOKRETAddingOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,1,1,0,0,1,-1,-1,-1,0,0,-1,0.96990073,-1,0,-1,0.25,0,27,79,-1,99,10,10,1,84,35,67,25,83,1,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,2,1,0,0,1,-1,-1,-1,0,0,-1,0.317983089,-1,0,-1,0.25,0,29,132,-1,99,10,7,1,51,96,88,24,62,1,132,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,3,1,0,0,1,-1,-1,-1,0,0,-1,0.900329018,-1,0,-1,0.25,0,29,29,-1,99,10,8,1,29,52,27,34,20,1,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,4,1,0,0,1,-1,-1,-1,0,0,-1,0.0918834,-1,0,-1,0.25,0,26,112,-1,99,10,10,1,65,35,12,40,18,1,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,5,1,0,0,1,-1,-1,-1,0,0,-1,0.531666887,-1,0,-1,0.25,0,0,99,-1,99,10,3,0,96,17,52,25,68,1,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,6,1,0,0,1,-1,-1,-1,0,0,-1,0.022306202,-1,0,-1,0.25,0,23,105,-1,99,10,9,1,29,90,10,53,86,1,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,7,1,0,0,1,-1,-1,-1,0,0,-1,0.392203008,-1,0,-1,0.25,0,29,132,-1,99,10,9,1,97,23,29,34,29,1,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,8,1,0,0,1,-1,-1,-1,0,0,-1,0.680959072,-1,0,-1,0.25,0,29,166,-1,99,10,6,1,98,46,74,16,13,1,166,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,9,1,0,0,1,-1,-1,-1,0,0,-1,0.954272981,-1,0,-1,0.25,0,28,163,-1,99,10,6,1,54,58,90,19,76,1,163,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,10,1,0,0,1,-1,-1,-1,0,0,-1,0.346974526,-1,0,-1,0.25,0,30,120,-1,99,10,12,1,26,56,49,98,33,1,120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,11,1,0,0,1,-1,-1,-1,0,0,-1,0.755963406,-1,0,-1,0.25,0,29,106,-1,99,10,10,1,78,99,86,14,54,1,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,12,1,0,0,1,-1,-1,-1,0,0,-1,0.879127829,-1,0,-1,0.25,0,0,90,-1,99,10,6,1,38,27,27,64,67,1,90,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,13,1,0,0,1,-1,-1,-1,0,0,-1,0.190280204,-1,0,-1,0.25,0,0,36,-1,99,10,5,1,30,65,42,57,17,1,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,14,1,0,0,1,-1,-1,-1,0,0,-1,0.829804942,-1,0,-1,0.25,0,30,109,-1,99,10,13,1,67,94,90,23,77,1,109,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,15,1,0,0,1,-1,-1,-1,0,0,-1,0.366840978,-1,0,-1,0.25,0,28,121,-1,99,10,16,1,90,61,97,23,52,1,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,2,16,1,0,0,1,-1,-1,-1,0,0,-1,0.708386331,-1,0,-1,0.25,0,29,147,-1,99,10,2,0,29,62,22,39,50,1,137,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,summary,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,summary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
