Session;170710_1310;6;masterfile;Period;AuditRate;TaxRate;Period;Subject;Sujeto;Group;Grupo;Profit;nCorrectRET;ProfitRET;Declared;Deduction;TotalDeduction;Cheat;Type;Audited;Fine;DeductionsGroup;ReceivedFromGroup;TaxRateProposed;nCorrectSum;GroupDG;ProfitDG;ProposerDG;OfferDG;age_subject;gender;Trust;Ideology;Income;PublicTransport;Taxes;jDrivingFast;MoneyFound;Lying;AccidentalDamage;Litter;DrivingAlcohol;JobApplication;BuyingStolen;ProfitRiskAv;dec1;dec2;jdec3;dec4;dec5;dec6;dec7;dec8;dec9;dec10;HLJump;SafeChoices;init_pred;avg_pred;realdie;digitaldie;digitaldielie;lastroll
1;170710_1310;6;masterfile;2;0;10;2;4;4;1;-1;1417.5;10;1500;1500;150;150;0;-1;0;0;270;67.5;-1;10;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;2;0;10;2;5;5;4;-1;712.5;4;600;300;30;30;1;-1;0;0;570;142.5;-1;4;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
1;170710_1310;6;masterfile;2;0;10;2;6;6;4;-1;1492.5;10;1500;1500;150;150;0;-1;0;0;570;142.5;-1;10;6;400;0;0;24;1;0;2;11;2;2;2;3;3;2;2;1;3;3;2;0;0;0;0;0;0;1;1;1;1;7;6;3;3.666666667;4;3;0;3
1;170710_1310;6;masterfile;2;0;10;2;7;7;2;-1;1001.25;7;1050;1050;105;105;0;-1;0;0;225;56.25;-1;7;3;500;1;500;23;0;1;1;5;2;1;3;3;3;2;2;1;2;2;0.1;0;0;0;0;0;1;1;1;1;1;6;5;2;1.666666667;1;1;0;1
1;170710_1310;6;masterfile;2;0;10;2;8;8;3;-1;1029.5;7;1050;600;60;60;1;-1;0;0;158;39.5;-1;7;1;500;1;500;22;0;1;1;89;2;2;2;3;3;3;2;1;2;3;0.1;0;0;0;0;0;0;0;0;1;1;9;8;2;2;3;3;0;3
1;170710_1310;6;masterfile;2;0;10;2;9;9;3;-1;1079.5;7;1050;100;10;10;1;-1;0;0;158;39.5;-1;7;7;500;0;300;24;0;1;1;1;2;1;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;6;0;6
1;170710_1310;6;masterfile;2;0;10;2;10;10;2;-1;2156.25;14;2100;0;0;0;1;-1;0;0;225;56.25;-1;14;7;500;1;500;20;1;0;2;1;2;1;2;4;3;1;1;2;2;2;1.6;0;0;0;0;1;1;1;1;1;1;5;4;2;2;5;4;0;4
1;170710_1310;6;masterfile;2;0;10;2;11;11;4;-1;1492.5;10;1500;1500;150;150;0;-1;0;0;570;142.5;-1;10;5;100;0;500;28;1;0;0;4;1;1;1;3;3;1;1;1;1;1;0.1;0;0;0;0;1;1;1;1;1;1;5;4;2;2.333333333;6;5;1;5
1;170710_1310;6;masterfile;2;0;10;2;12;12;3;-1;1689.5;11;1650;0;0;0;1;-1;0;0;158;39.5;-1;11;4;600;1;400;19;0;0;5;88;3;1;3;3;1;2;1;1;2;3;3.85;1;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;0;2
1;170710_1310;6;masterfile;2;0;10;2;13;13;2;-1;1136.25;8;1200;1200;120;120;0;-1;0;0;225;56.25;-1;8;8;100;0;400;22;0;0;1;89;3;1;2;3;2;1;1;2;2;2;2;0;0;0;0;1;0;1;1;1;1;5;5;3;2.666666667;2;5;1;5
1;170710_1310;6;masterfile;2;0;10;2;14;14;1;-1;2017.5;13;1950;0;0;0;1;-1;0;0;270;67.5;-1;13;8;900;1;100;21;0;0;4;89;2;1;2;3;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;10;9;2;1.666666667;5;6;0;6
1;170710_1310;6;masterfile;2;0;10;2;15;15;4;-1;2302.5;16;2400;2400;240;240;0;-1;0;0;570;142.5;-1;16;3;500;0;300;19;1;0;4;3;1;1;3;1;1;1;1;1;1;1;1.6;0;0;0;0;1;1;1;1;1;1;5;4;1;1.333333333;3;1;0;1
1;170710_1310;6;masterfile;2;0;10;2;16;16;3;-1;851.5;6;900;880;88;88;1;-1;0;0;158;39.5;-1;6;4;400;0;500;20;0;0;2;2;3;1;2;3;3;2;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;4;4;5;2;0;2
