"sujeto","grupo","cheat","ncorrectret","percevaded","safechoices","period","offerdg","auditrate","taxrate","profitret","perform_high","treatment_lab","treatment2_lab","realdie","die_type"
634,158,1,10,0.100000001490116,4,3,495,0,10,1500,0,"Non-fixed","Non-fixed",2,"Incentivized die"
634,158,1,4,0.416666656732559,4,8,495,0,10,600,0,"Non-fixed","Non-fixed",2,"Incentivized die"
634,158,1,8,0.20833332836628,4,10,495,0,10,1200,0,"Non-fixed","Non-fixed",2,"Incentivized die"
635,160,0,18,0,6,8,400,0,10,2700,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,158,0,16,0,6,10,400,0,10,2400,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,157,0,18,0,6,1,400,0,10,2700,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,158,1,18,0.0370370373129845,6,5,400,0,10,2700,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,159,1,15,0.0222222227603197,6,4,400,0,10,2250,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,159,0,16,0,6,2,400,0,10,2400,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,159,0,17,0,6,6,400,0,10,2550,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,160,0,16,0,6,9,400,0,10,2400,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,160,1,17,0.0196078438311815,6,3,400,0,10,2550,1,"Non-fixed","Non-fixed",2,"Incentivized die"
635,157,0,17,0,6,7,400,0,10,2550,1,"Non-fixed","Non-fixed",2,"Incentivized die"
636,158,0,9,0,5,6,400,0,10,1350,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,160,0,10,0,5,9,400,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,158,0,8,0,5,7,400,0,10,1200,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,159,0,7,0,5,1,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,158,0,10,0,5,3,400,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,159,0,11,0,5,10,400,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,158,0,11,0,5,4,400,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,157,0,10,0,5,8,400,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,157,0,9,0,5,5,400,0,10,1350,0,"Non-fixed","Non-fixed",6,"Incentivized die"
636,159,0,11,0,5,2,400,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
637,157,1,12,1,7,4,500,0,10,1800,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,160,1,9,0.740740716457367,7,1,500,0,10,1350,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,158,1,12,1,7,5,500,0,10,1800,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,157,1,11,1,7,9,500,0,10,1650,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,160,1,8,1,7,10,500,0,10,1200,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,157,1,14,1,7,8,500,0,10,2100,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,159,1,15,1,7,6,500,0,10,2250,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,159,1,13,1,7,3,500,0,10,1950,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,160,1,10,1,7,7,500,0,10,1500,1,"Non-fixed","Non-fixed",5,"Incentivized die"
637,160,1,13,0.99487179517746,7,2,500,0,10,1950,1,"Non-fixed","Non-fixed",5,"Incentivized die"
638,159,0,6,0,6,2,400,0,10,900,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,160,1,14,0.523809552192688,6,10,400,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,11,0.60606062412262,6,9,400,0,10,1650,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,12,0.444444447755814,6,4,400,0,10,1800,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,157,1,14,0.761904776096344,6,6,400,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,157,1,10,0.333333343267441,6,7,400,0,10,1500,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,10,0.333333343267441,6,1,400,0,10,1500,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,14,0.476190477609634,6,3,400,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,15,0.555555582046509,6,8,400,0,10,2250,1,"Non-fixed","Non-fixed",4,"Incentivized die"
638,159,1,12,0.444444447755814,6,5,400,0,10,1800,1,"Non-fixed","Non-fixed",4,"Incentivized die"
639,157,1,13,1,6,6,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,159,1,12,1,6,10,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,157,1,13,1,6,2,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,158,1,13,1,6,3,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,160,1,13,1,6,8,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,159,1,11,1,6,5,0,0,10,1650,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,158,1,10,1,6,1,0,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,159,1,12,1,6,9,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,160,1,13,1,6,4,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
639,160,1,14,1,6,7,0,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
640,160,0,10,0,4,2,400,0,10,1500,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,158,0,11,0,4,1,400,0,10,1650,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,159,0,11,0,4,8,400,0,10,1650,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,159,1,12,0.0555555559694767,4,6,400,0,10,1800,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,158,1,9,0.111111111938953,4,9,400,0,10,1350,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,159,1,10,0.266666680574417,4,10,400,0,10,1500,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,157,1,10,0.0666666701436043,4,4,400,0,10,1500,0,"Non-fixed","Non-fixed",1,"Incentivized die"
